Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Morocco,"1,487","1,541","1,748","1,765","1,863","1,997","2,155","2,104","2,351","2,443"
Mozambique,172,193,186,160,152,157,156,184,206,227
Myanmar,,,,,,,,,,
Namibia,,,,,,,,,,
Nauru,,,,,,,,,,
Nepal,404,468,504,497,551,590,616,628,685,725
Netherlands,"11,644","12,579","13,128","13,834","14,713","15,514","16,232","16,847","18,119","19,537"
New Zealand,"8,824","9,881","10,713","11,017","12,068","12,484","12,850","13,380","13,798","14,398"
Nicaragua,,,,,,,,,,
Niger,569,601,630,609,507,545,573,570,611,621
Nigeria,,,,,,,,,,
Norway,"14,974","16,574","17,578","18,943","20,745","22,525","23,823","24,716","25,380","26,563"
Oman,"8,703","10,285","12,179","13,630","15,005","17,734","17,325","16,054","17,488","17,670"
Pakistan,893,"1,008","1,118","1,206","1,264","1,380","1,458","1,541","1,654","1,756"
Palau,,,,,,,,,,
Panama,"3,543","4,130","4,513","4,378","4,551","4,820","4,982","4,910","4,310","4,453"
Papua New Guinea,"1,067","1,149","1,203","1,265","1,269","1,324","1,397","1,494","1,546","1,517"
Paraguay,"2,556","2,962","3,012","2,947","3,046","3,171","3,143","3,252","3,454","3,680"
Peru,"3,105","3,493","3,609","3,322","3,488","3,591","4,015","4,338","3,979","3,504"
Philippines,"1,886","2,080","2,233","2,306","2,160","2,016","2,077","2,167","2,342","2,523"
Poland,"4,753","4,635","4,641","5,023","5,138","5,466","5,736","5,987","6,394","6,889"
Portugal,"6,005","6,764","7,291","7,609","7,769","8,115","8,542","9,424","10,285","11,408"
Puerto Rico,"7,428","8,141","8,311","8,603","9,472","9,881","10,796","11,497","12,539","13,520"
Qatar,"72,061","69,897","63,272","58,114","65,435","55,602","56,008","55,605","57,909","60,973"
Romania,"4,793","5,215","5,727","6,285","6,870","7,051","7,327","7,532","7,716","7,524"
Russia,,,,,,,,,,
Rwanda,453,490,489,519,593,618,643,635,637,603
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
São Tomé and Príncipe,"1,388","1,334","1,430","1,395","1,324","1,455","1,361","1,318","1,352","1,408"
Saudi Arabia,"38,665","41,042","32,906","27,346","25,710","22,793","25,912","23,628","26,343","25,932"
Senegal,820,917,"1,021",976,"1,019","1,054","1,076","1,136","1,134","1,189"
Serbia,,,,,,,,,,
Seychelles,"4,498","4,653","4,840","5,000","5,368","6,061","6,191","6,382","6,931","7,894"
Sierra Leone,869,944,"1,000",999,"1,046",987,987,"1,014","1,048","1,117"
Singapore,"8,852","10,209","11,121","12,386","13,693","14,015","14,501","16,225","18,192","20,221"
Slovakia,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,803,833,842,880,885,858,849,917,935,985
Somalia,,,,,,,,,,
